,1,2,10,14,FullDate,InjuryScore
83, Joe Bryan,Fulham, Defender - Left-Back, 18/19,9/08/2018,1
84, Andr Zambo Anguissa,Fulham, Midfielder - Defendsive Midfield, 18/19,9/08/2018,1
106, Federico Fernandez,Newcastle, Defender - Centre-Back, 18/19,9/08/2018,1
109, Miguel Almiron,Newcastle, Midfielder - Attacking Midfield, 18/19,31/01/2019,1
136, Isaac Mbenza,Huddersfield, Forward - Right Winger, 18/19,9/08/2018,1
129, Joel Coleman,Huddersfield, Goalkeeper, 18/19,10/01/2019,1
138, Karlan Grant,Huddersfield, Forward - Centre-Forward, 18/19,30/01/2019,1
12, Ben Woodburn,Liverpool, Forward - Left Winger, 18/19,9/01/2019,1
17, Callum Hudson-Odoi,Chelsea, Forward - Left Winger, 18/19,1/01/2019,1
39, Eddie Nketiah,Arsenal, Forward - Centre-Forward, 18/19,1/01/2019,1
51, Youri Tielemans,Leicester, Midfielder - Central Midfield, 18/19,31/01/2019,1
66, Lucas Perri,Crystal Palace, Goalkeeper, 18/19,24/01/2019,1
99, Yan Valery,Southampton, Defender - Right-Back, 18/19,1/01/2019,1
103, Josh Sims,Southampton, Forward - Right Winger, 18/19,7/01/2019,1
104, Michael Obafemi,Southampton, Forward - Centre-Forward, 18/19,1/01/2019,1
142, Leandro Bacuna,Cardiff, Midfielder - Central Midfield, 18/19,31/01/2019,1
73, Chris Mepham,Bournemouth, Defender - Centre-Back, 18/19,22/01/2019,1
75, Nathaniel Clyne,Bournemouth, Defender - Right-Back, 18/19,4/01/2019,1
92, Jonny Otto,Wolves, Defender - Left-Back, 18/19,31/01/2019,1
